id,name,query
d51ab7f9-30fa-4f7f-8f8a-0739e5c9caa6,"6th Avenue Pharmacy","Corner Jason Moyo And 6th Avenue, Bulawayo, Bulawayo"
d246e725-0e8e-458e-8015-7e54e7cbe40e,"9th Avenue Surgery","Shop 339th Avenue AND Herbert Chitepo, Bulawayo, Bulawayo"
4a9a50d5-a9bb-4afe-b35e-943690bc953f,"A A Pharmacy","Stand 24588 Pumula South, Bulawayo, Bulawayo"
f679be98-5bc5-4d47-ae0a-96a1bc9a3654,"Access Pharmaceuticals","19 Steelworks Road Steeldale, Bulawayo, Bulawayo"
6aeeaf4b-1e70-441c-a5e0-50bafc4d3cc9,"Ace Air & Ambulance - Bulawayo","3 St Luke Avenue Garden Park, Bulawayo, Bulawayo"
7296effa-6350-41d5-9f51-bc0d5afb4038,"A. Chinhara Orthodontic Practice","Shop 10 & 11 Upstairs Zonkizizwe Shops, Bulawayo, Bulawayo"
39d86ee9-c9ac-4335-90cc-e3fcc9a28c76,"Acute & Chronic Medical Unit (dr H. Z Kuzanga)","Suite 301 Lancet House9th Avenue/josiah Tongogara, Bulawayo, Bulawayo"
c2a749e8-d8d2-4744-8686-31611e86ca77,"Ad-care Pharmacy- Haylet House","Shop 3 Halyet House9th Ave, Bulawayo, Bulawayo"
b84dc4b7-8bc3-431d-a5c9-afa5c9548a2f,"Alldays Pharmacy","14099 Cnr 10th Avenue/jmn Street, Bulawayo, Bulawayo"
9275b8f9-c47f-4468-9c53-61fb887cf8e1,"Allies Pharmacy","Esihlengweni Suite 387 Josiah Tongogara Ave & 9th Ave, Bulawayo, Bulawayo"
bf2f7bdc-4158-42be-98a2-937155dfc2c0,"Apple Pharmacy","Shop G 02 Forestry Commissin Building 71 Fife Street, Bulawayo, Bulawayo"
139a287b-93f2-4a80-928b-5458e0e3d7e9,"Astrid Ambulances","17 A 2nd Avenue &fife Avenue, Bulawayo, Bulawayo"
